,collection_date,country,db_xref,genotype,host,isolate,mol_type,note,organism,subtype,chromosome,clone,culture_collection,isolation_source,map,serotype,strain,PCR_primers,collected_by,lab_host,identified_by,lat_lon,pop_variant,cell_type,clone_lib,dev_stage,sex,tissue_type
10,16-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1342_16/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
11,10-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1341_10/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
12,08-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1340_08/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
13,08-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1339_08/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
14,01-Jun-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1338_01/06/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
15,31-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1337_31/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
16,30-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1336_30/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
17,30-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1335_30/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
18,30-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1334_30/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
19,29-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1333_29/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
20,28-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1332_28/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
21,26-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1331_26/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
22,24-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1330_24/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
23,13-May-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1329_13/05/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
24,29-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1328_29/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
25,27-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1327_27/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
26,20-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1326_20/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
27,19-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1325_19/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
28,19-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1324_19/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
29,18-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1323_18/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
30,17-Apr-2014,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1322_17/04/2014,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
31,17-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1321_17/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
32,12-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1320_12/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
33,11-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1319_11/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
34,08-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1318_08/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
35,08-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1317_08/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
36,05-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1316_05/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
37,01-Apr-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1315_01/04/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
38,31-Mar-2015,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1314_31/03/2015,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
39,27-Mar-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1313_27/03/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
40,22-Mar-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1312_22/03/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
41,21-Mar-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1311_21/03/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
42,16-Mar-2015,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1310_16/03/2015,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
43,08-Mar-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1309_08/03/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
44,05-Mar-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1308_05/03/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
45,26-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1307_26/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
46,21-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1306_21/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
47,21-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1305_21/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
48,21-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1304_21/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
49,16-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1303_16/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
50,13-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1302_13/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
51,08-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1301_08/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
52,08-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1300_08/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
53,04-Feb-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1299_04/02/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
54,31-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1298_31/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
55,29-Jan-2015,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1297_29/01/2015,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
56,29-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1296_29/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
57,27-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1295_27/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
58,25-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1294_25/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
59,24-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1293_24/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
60,09-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1292_09/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
61,08-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1291_08/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
62,08-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1290_08/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
63,08-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1289_08/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
64,07-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1288_07/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
65,06-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1287_06/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
66,04-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1286_04/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
67,02-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1285_02/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
68,02-Jan-2015,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1284_02/01/2015,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
69,31-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1283_31/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
70,31-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1282_31/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
71,30-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1281_30/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
72,28-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1280_28/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
73,27-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1279_27/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
74,25-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1278_25/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
75,24-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1277_24/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
76,23-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1276_23/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
77,22-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1275_22/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
78,21-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1274_21/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
79,19-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1273_19/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
80,18-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1272_18/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
81,18-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1271_18/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
82,18-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1270_18/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
83,17-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1269_17/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
84,17-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1268_17/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
85,17-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1267_17/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
86,17-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1266_17/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
87,16-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1265_16/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
88,15-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1264_15/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
89,15-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1263_15/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
90,14-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1262_14/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
91,14-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1261_14/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
92,14-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1260_14/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
93,14-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1259_14/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
94,11-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1258_11/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
95,10-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1257_10/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
96,09-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1256_09/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
97,08-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1255_08/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
98,08-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1254_08/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
99,08-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1253_08/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
100,07-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1252_07/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
101,06-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1251_06/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
102,06-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1250_06/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
103,05-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1249_05/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
104,05-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1248_05/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
105,04-Dec-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1247_04/12/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
106,26-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1246_26/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
107,25-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1245_25/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
108,22-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1244_22/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
109,21-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1243_21/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
110,19-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1242_19/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
111,17-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1241_17/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
112,16-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1240_16/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
113,15-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1239_15/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
114,14-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1238_14/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
115,13-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1237_13/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
116,12-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1236_12/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
117,11-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1235_11/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
118,10-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1234_10/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
119,06-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1233_06/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
120,04-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1232_04/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
121,03-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1231_03/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
122,01-Nov-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1230_01/11/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
123,29-Sep-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1229_29/09/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
124,10-Jun-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1228_10/06/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
125,02-Jun-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1227_02/06/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
126,21-May-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1226_21/05/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
127,20-May-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1225_20/05/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
128,11-May-2014,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1224_11/05/2014,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
129,09-May-2014,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1223_09/05/2014,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
130,03-May-2014,Kenya,taxon:208893,ON1,Homo sapiens,KEN/Kilifi/1222_03/05/2014,viral cRNA,genotype: ON1,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
131,23-Apr-2014,Kenya,taxon:208893,GA2,Homo sapiens,KEN/Kilifi/1221_23/04/2014,viral cRNA,genotype: GA2,Human respiratory syncytial virus A,A,,,,,,,,,,,,,,,,,,
